Alfred,
Arthur,
Artur,
Bruno,
Carl,
Claus,
Curt,
Erich,
Ernst,
Franz,
Friedrich,
Fritz,
Georg,
Gerhard,
Günther,
Günter,
Hans,
Harry,
Heinz,
Herbert,
Hermann,
Horst,
Joachim,
Karl,
Karlheinz,
Karl-Heinz,
Klaus,
Kurt,
Manfred,
Max,
Otto,
Paul,
Richard,
Rudolf,
Walter,
Werner,
Wilhelm,
Willi,
Willy,
Wolfgang,
Anna,
Anneliese,
Berta/Bertha,
Charlotte,
Clara,
Klara,
Edith,
Elfriede,
Elisabeth,
Ella,
Else,
Emma,
Erika,
Erna,
Frieda,
Frida,
Gerda,
Gertrud,
Gisela,
Hedwig,
Helene,
Helga,
Herta,
Hertha,
Hildegard,
Ida,
Ilse,
Ingeborg,
Irmgard,
Johanna,
Käte,
Käthe,
Lieselotte,
Liselotte,
Louise,
Luise,
Margarethe,
Margarete,
Margot,
Maria,
Marie,
Marta,
Martha,
Ruth,
Ursula,
Waltraud,
Waltraut,
