A. Lange & Söhne,
Aareal Bank,
Adidas,
AEG,
Air Berlin,
Aldi,
Allianz,
Alpina,
Altana,
Aral AG,
Arburg,
Arcandor,
Arcor,
Armedangels,
Audi,
August Storck,
Aurubis,
Auto Union,
Axel Springer AG,
Babelsberg Studio,
Bahlsen,
BASF,
Bavaria Film Studios,
Bayer,
BayWa,
BBS Kraftfahrzeugtechnik,
Bechtle,
Beck's Brewery,
Behr GmbH & Co. KG,
Behringer,
Beiersdorf,
Bellevue Investments,
Benecke-Kaliko,
Bertelsmann,
Beyerdynamic,
Bilfinger,
Birkenstock,
Bitburger Brewery,
Blaupunkt,
Blohm+Voss,
BMG Rights Management,
BMW,
Bodan-Werft,
Boehringer Ingelheim,
BOMAG,
Brabus,
Braun,
Bremer Vulkan,
Brenntag,
Büssing AG,
C. Bechstein,
C. Illies & Co.,
Carl Walther GmbH,
Carl Zeiss AG,
Carl-Zeiss-Stiftung,
Celesio,
Circus Krone,
Claas,
Commerzbank,
Condor Flugdienst,
Continental AG,
Covestro,
Daimler AG,
Dba,
Delton,
Der Spiegel,
Deutsche Bahn,
Deutsche Bank,
Deutsche Börse,
Deutsche Grammophon,
Deutsche Messe,
Deutsche Pfandbriefbank,
Deutsche Post,
Deutsche Telekom,
Deutsche Vermögensberatung,
Deutz AG,
DHL Express,
Dieffenbacher,
Diehl Aerospace,
Diehl Defence,
Diehl Metall,
Diezel,
Djshop,
Dornier Flugzeugwerke,
Douglas Holding,
DOVO Solingen,
Dr. Oetker,
Dräger,
Dresdner Bank,
Dürr AG,
DVB Bank,
E.ON,
Eberhard Faber,
ebm-papst,
edding,
Edeka,
ElringKlinger,
EnBW,
EnOcean,
Entwicklungsring Nord,
Epcos,
E-Plus,
Evonik Industries,
Faber-Castell,
Fein,
Ferrostaal,
Festo,
Fischertechnik,
Fissler,
Focke-Achgelis,
Focke-Wulf,
Fond of Bags,
Ford Germany,
Ford of Europe,
Franz Haniel & Cie.,
Fraport,
Freenet.de,
Fresenius,
Fresenius Medical Care,
Freudenberg Group,
FRoSTA,
Fuchs Petrolub,
Gardena,
GEA Group,
Gebrüder Thonet,
Gerolsteiner Brunnen,
Gerresheimer,
Getrag,
GfK AG,
GPC Biotech,
Grundig,
Gruner + Jahr,
Hama Photo,
Hamburg Süd,
Hamburger Flugzeugbau,
Hannover Re,
Hapag-Lloyd,
Haribo,
Heckler & Koch,
HeidelbergCement,
Heidelberger Druckmaschinen,
Heinkel,
Hella,
Henkel,
Heraeus,
Herrenknecht,
Hochtief,
Hoechst,
Hoesch,
Horváth & Partners,
Howaldtswerke-Deutsche Werft,
Hubert Burda Media,
Hugo Boss,
HypoVereinsbank,
Hypo Real Estate,
IAV,
